epoch	acc	loss	val_acc	val_loss
0	0.8148304112560568	0.541998624989861	0.867368431467759	0.403417916674363
1	0.9271142334547656	0.19099315507805836	0.8315789479958383	0.5575827140557138
2	0.947449515228383	0.13596279772009418	0.9094736827047247	0.2973689762385268
3	0.9595259285530848	0.10603113460087636	0.9326315835902566	0.26733431063200297
4	0.9676881136531719	0.08447389893342702	0.9010526286928278	0.42083776310870524
5	0.9734393822519403	0.07078921465295754	0.9157894849777222	0.3437003885444842
6	0.9768514688112583	0.06089132096732787	0.9136842050050434	0.373779758810997
7	0.9800296375207733	0.05381549835270434	0.9368421153018349	0.29937974010643204
8	0.9828959145462304	0.047391705968831147	0.9284210487415916	0.3193211947616778
9	0.9843524448076884	0.042370476234555844	0.9242105421267057	0.37086914636586843
10	0.9859399691520379	0.038489779717811756	0.9199999978667811	0.31758145046861547
11	0.9871532244431345	0.03576377842114416	0.9221052652911136	0.3607163046927829
12	0.9881263234461958	0.03326580050558652	0.9221052652911136	0.36578181934984105
13	0.9893083891673394	0.030084965157966614	0.9410526376021536	0.33236192323659597
14	0.9899758350918865	0.029016334371285906	0.9305263318513569	0.3576378371370466
15	0.9906027358735514	0.02698179241440365	0.9431578893410532	0.30136818399554804
16	0.9913918194157338	0.024530128622584163	0.8989473612684953	0.5344194063034496
17	0.9915321700614795	0.02458110709116918	0.9200000072780409	0.4507760954530616
18	0.9920499086240578	0.022883971647028566	0.9410526376021536	0.32771537805858414
19	0.9927579007650676	0.021313191589127343	0.9473684304638913	0.3121100111227286
